,loan_data_targets_test,y_hat_test_proba,y_hat_test
83449,1,0.9798634491370656,1
159896,1,0.9922902749922615,1
151288,1,0.9681311104430317,1
2009,1,0.9500119186374901,1
91077,1,0.9924409092548633,1
101394,1,0.9729119435622173,1
148741,1,0.9987778702027641,1
30086,1,0.9545862131875789,1
63747,1,0.9179778915356727,1
114441,1,0.9728908012300569,1
129058,0,0.10937088004966136,0
118763,0,0.19930187559610701,0
137489,1,0.9008436864311227,1
84133,1,0.9729380641429527,1
29919,1,0.9549903034604867,1
130061,1,0.9986767575766934,1
34314,1,0.9833898515606424,1
158147,1,0.9973572945091514,1
129773,1,0.9961963324552194,1
124312,1,0.9350164896520952,1
22124,1,0.9863887689988005,1
104577,0,0.022503771788445346,0
10412,1,0.9990156793209033,1
128368,1,0.997868356586979,1
95472,1,0.9913958066153383,1
51869,1,0.9286420026654546,1
13271,1,0.964164677663174,1
124713,1,0.9889242414866791,1
9821,1,0.9948282384821467,1
88678,1,0.9857158312079389,1
62065,0,0.4980476825826481,0
103997,1,0.1445961445464485,0
13142,1,0.9946787639944251,1
143440,1,0.9906604148169823,1
68070,1,0.9766174052861051,1
47177,1,0.9989630841155462,1
84496,1,0.9715275990603229,1
8200,1,0.9197651712584305,1
115783,1,0.9974837798946229,1
143952,0,0.17515884355358569,0
44424,1,0.9808865989971174,1
4112,1,0.8948158881148416,0
127861,1,0.896589865845736,0
80490,1,0.982381392678342,1
75231,0,0.1761375030804128,0
76471,1,0.9428210387360598,1
23467,1,0.9920983003916141,1
83346,1,0.9929252743152872,1
23568,1,0.9437777659004714,1
57654,1,0.9853835757081606,1
25204,1,0.8939296937678892,0
149906,1,0.9965370326460865,1
126447,1,0.970649741499663,1
157245,1,0.9996412348620102,1
132514,1,0.9498593985226348,1
106795,1,0.94360917245981,1
50957,1,0.9722790858455844,1
142374,1,0.998896505670825,1
24451,1,0.9817810347697722,1
155448,1,0.9337810715656994,1
66793,1,0.9642156899326649,1
33367,1,0.04396711819706735,0
161887,1,0.9555923606899858,1
6371,1,0.9984311684936915,1
142589,1,0.9992952294028469,1
117275,1,0.9935306926053267,1
114096,1,0.9964838591869997,1
135689,0,0.00033191591680196416,0
122168,1,0.9996734303534857,1
114859,1,0.973418520194722,1
76443,1,0.9937474711636651,1
27294,1,0.9768907087670504,1
68240,1,0.968557468922159,1
162228,1,0.9873811662116956,1
141765,0,0.03169345046627848,0
20999,1,0.9969777857529638,1
20273,1,0.9685711268895293,1
136346,1,0.9153469206764581,1
36204,1,0.9030134896060221,1
156039,1,0.9474020680284398,1
33843,1,0.970396958459062,1
46719,1,0.998001912537561,1
69850,1,0.9986149572785827,1
40993,1,0.9617683682531772,1
153292,1,0.896885235134402,0
31453,1,0.9927953053975219,1
47406,1,0.9877065212052796,1
2309,1,0.9992370027751089,1
139482,1,0.9961767774956032,1
26261,1,0.9953435876159532,1
90157,0,0.8470730421285395,0
152433,1,0.9971636406790334,1
60839,1,0.9972654029105702,1
99017,0,0.8573165285393507,0
25619,1,0.9904740794422949,1
5271,1,0.9935090964826055,1
129537,1,0.9990016463710557,1
130790,1,0.9911085360785159,1
162744,1,0.9701859114702474,1
155650,1,0.9832129631577853,1
60575,1,0.996534216235569,1
14961,1,0.9968216993816381,1
19525,1,0.1152919444018742,0
76018,1,0.9958545572012307,1
4652,0,0.016886866847135897,0
22234,1,0.9930431221467634,1
114749,1,0.9939866759292404,1
65957,1,0.9111830183290551,1
80748,1,0.9910676453817104,1
68581,1,0.681138928960281,0
110074,1,0.9656841250454858,1
82623,1,0.9049620626834248,1
136803,1,0.9754320348804476,1
103386,1,0.9863526291445163,1
30929,1,0.9833333611963675,1
3377,1,0.954704857151813,1
78751,0,0.8998347374070037,0
88384,1,0.9786809732428058,1
130184,1,0.9790304764284574,1
145672,1,0.9789457227676901,1
5835,1,0.9996366960491399,1
88469,1,0.9734379013373516,1
100657,1,0.9736309611450454,1
