,index,Feature name,Coefficients,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,0.03505045933978042,Intercept,507.62099657257727,508.0,0.37900342742273097,508.0
98,98,"amount_payed:(21516.911, 56809.052]",7.303034519544049,amount_payed,127.5469051142491,128.0,0.4530948857509003,128.0
97,97,"amount_payed:(14268.0, 21516.911]",4.120385197313333,amount_payed,71.96219302941094,72.0,0.037806970589059574,72.0
4,4,"loan_amount:(999.999, 6300.0]",3.844340053344588,loan_amount,67.1410869959112,67.0,-0.1410869959111949,67.0
96,96,"amount_payed:(10060.525, 14268.0]",2.037885315838688,amount_payed,35.59150163091748,36.0,0.40849836908252257,36.0
5,5,"loan_amount:(6300.0, 10000.0]",1.4818072318106128,loan_amount,25.879643028875645,26.0,0.12035697112435528,26.0
8,8,"interest_rate:(5.319, 9.67]",1.4425941123308332,interest_rate,25.194789079995033,25.0,-0.19478907999503292,25.0
105,105,year:2015,1.4400368973182507,year,25.150127527363217,25.0,-0.15012752736321744,25.0
1,1,installment: <=152,1.3079983633488657,installment,22.844085248835256,23.0,0.15591475116474385,23.0
77,77,"debt_to_income:(9.46, 14.03]",0.11396931368524835,debt_to_income,1.9904648129002704,2.0,0.009535187099729558,16.0
128,128,"mths_since_issue_d:(48.999, 64.0]",0.7473681052629836,mths_since_issue_d,13.05272329636274,13.0,-0.05272329636274087,13.0
9,9,"interest_rate:(9.67, 12.29]",0.735742434607626,interest_rate,12.849681901994394,13.0,0.1503180980056058,13.0
53,53,delinquency_2y:6.0,0.5350504879333425,delinquency_2y,9.344613343006271,9.0,-0.3446133430062712,9.0
2,2,installment: 153-209,0.4071198158424514,installment,7.1103145387610285,7.0,-0.11031453876102848,7.0
34,34,public_records: >=8,0.32405024139704913,public_records,5.659511163627828,6.0,0.3404888363721721,6.0
21,21,purpose:wedding,0.3234011440464034,purpose,5.648174731084457,6.0,0.351825268915543,6.0
47,47,delinquency_2y:0.0,0.35950754877675006,delinquency_2y,6.278770159030719,6.0,-0.278770159030719,6.0
10,10,"interest_rate:(12.29, 14.33]",0.32871118995497617,interest_rate,5.740914251874141,6.0,0.25908574812585883,6.0
48,48,delinquency_2y:1.0,0.29091491876310044,delinquency_2y,5.080805443339634,5.0,-0.08080544333963413,5.0
49,49,delinquency_2y:2.0,0.2831223824504797,delinquency_2y,4.944709429140974,5.0,0.05529057085902611,5.0
50,50,delinquency_2y:3.0,0.25980241709534346,delinquency_2y,4.537428127038511,5.0,0.4625718729614894,5.0
36,36,"last_record_months:(51.0, 69.0]",0.2971269856707506,last_record_months,5.189298687663349,5.0,-0.18929868766334934,5.0
121,121,income_category:>= 70001,0.2670955552000538,income_category,4.664802192070956,5.0,0.33519780792904363,5.0
90,90,total_current_balance: >= 171562,0.2033826624022389,total_current_balance,3.552061690777998,4.0,0.44793830922200195,4.0
82,82,credit_card_usage: 31-39,0.2241921984869299,credit_card_usage,3.9154985494375865,4.0,0.08450145056241354,4.0
81,81,credit_card_usage: 19-30,0.24294252044502626,credit_card_usage,4.242971400517613,4.0,-0.24297140051761268,4.0
76,76,"debt_to_income:(-0.001, 9.46]",0.23315856686257003,debt_to_income,4.072095445339781,4.0,-0.07209544533978107,4.0
72,72,inquiries_6m: =7,0.24856976780263693,inquiries_6m,4.3412508188682715,4.0,-0.34125081886827147,4.0
129,129,"mths_since_issue_d:(64.0, 72.0]",0.2474436744513081,mths_since_issue_d,4.321583689889579,4.0,-0.32158368988957875,4.0
33,33,public_records: 7,0.14414316176036676,public_records,2.5174486203941964,3.0,0.48255137960580363,3.0
51,51,delinquency_2y:4.0,0.14320659825044532,delinquency_2y,2.501091614712005,3.0,0.49890838528799497,3.0
35,35,"last_record_months:(-0.001, 51.0]",0.19967875968095625,last_record_months,3.4873733303875913,3.0,-0.48737333038759134,3.0
100,100,year:2010,0.17973965370558423,year,3.1391384629365597,3.0,-0.13913846293655974,3.0
52,52,delinquency_2y:5.0,0.15665791764160145,delinquency_2y,2.7360178160675983,3.0,0.2639821839324017,3.0
64,64,delinquency_2y:18.0,0.14433678530617922,delinquency_2y,2.5208302399058575,3.0,0.47916976009414247,3.0
27,27,annual_income: 42001-82000,0.17419754197718146,annual_income,3.0423459314397636,3.0,-0.04234593143976362,3.0
12,12,term:36,0.15798762308505365,term,2.759241013708527,3.0,0.24075898629147297,3.0
74,74,open_accounts: <6,0.11405674003904816,open_accounts,1.9919917070731992,2.0,0.00800829292680083,2.0
123,123,"mths_since_earliest_cr_line:(182.0, 213.0]",0.11929694275880795,mths_since_earliest_cr_line,2.0835114222392668,2.0,-0.08351142223926677,2.0
45,45,"last_derog_months:(49.0, 64.0]",0.10899912659601875,last_derog_months,1.9036608988048989,2.0,0.09633910119510114,2.0
